lead_id,full_name,company,title,linkedin_url,email,location,source
TR-HR-001,Ebru Taşcı Firuzbay,Garanti BBVA,Yetenek ve Kültür Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Ebru%20Ta%C5%9Fc%C4%B1%20Firuzbay%20Garanti%20BBVA,,İstanbul,"Verified: KAP bildirimi, garantibbva.com.tr"
TR-HR-002,Bülent Oğuz,Akbank,İnsan ve Kültür Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=B%C3%BClent%20O%C4%9Fuz%20Akbank,,İstanbul,"Verified: KAP bildirimi, akbank.com"
TR-HR-003,Ali Yalçın,Türkiye İş Bankası,Genel Müdür Yardımcısı - İnsan Kaynakları Yönetimi,https://www.linkedin.com/search/results/people/?keywords=Ali%20Yal%C3%A7%C4%B1n%20T%C3%BCrkiye%20%C4%B0%C5%9F%20Bankas%C4%B1,,İstanbul,Verified: isbank.com.tr yönetim kadrosu
TR-HR-004,Özden Önaldı,Yapı Kredi,İnsan Kaynakları ve Organizasyon Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=%C3%96zden%20%C3%96nald%C4%B1%20Yap%C4%B1%20Kredi,,İstanbul,Verified: yapikredi.com.tr
TR-HR-005,Cenk Akıncılar,QNB Finansbank,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Cenk%20Ak%C4%B1nc%C4%B1lar%20QNB%20Finansbank,,İstanbul,"Verified: KAP bildirimi, qnbfinansbank.com"
TR-HR-006,Tuba Köseoğlu Okçu,DenizBank,İnsan Kaynakları Grubu Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Tuba%20K%C3%B6seo%C4%9Flu%20Ok%C3%A7u%20DenizBank,,İstanbul,Verified: denizbank.com resmi açıklama
TR-HR-007,Çiğdem Ünsal,TEB,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=%C3%87i%C4%9Fdem%20%C3%9Cnsal%20TEB,,İstanbul,Verified: teb.com.tr
TR-HR-008,Hüseyin Özuysal,Ziraat Bankası,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=H%C3%BCseyin%20%C3%96zuysal%20Ziraat%20Bankas%C4%B1,,Ankara,Verified: ziraatbank.com.tr
TR-HR-009,Caner Gökbulut,Halkbank,İnsan Kaynakları ve İletişim Grup Başkanı,https://www.linkedin.com/search/results/people/?keywords=Caner%20G%C3%B6kbulut%20Halkbank,,Ankara,Verified: halkbank.com.tr
TR-HR-010,Neşe Satıcı,Halkbank,İnsan Kaynakları Daire Başkanı,https://www.linkedin.com/search/results/people/?keywords=Ne%C5%9Fe%20Sat%C4%B1c%C4%B1%20Halkbank,,Ankara,Verified: halkbank.com.tr
TR-HR-011,Şuayyip İlbilgi,VakıfBank,"İnsan Kaynakları, Kurumsal Gelişim ve Performans Yönetimi GMY",https://www.linkedin.com/search/results/people/?keywords=%C5%9Euayyip%20%C4%B0lbilgi%20Vak%C4%B1fBank,,İstanbul,"Verified: vakifbank.com.tr, KAP"
TR-HR-012,Ömer Faruk Başer,VakıfBank,İnsan Kaynakları Başkanı,https://www.linkedin.com/search/results/people/?keywords=%C3%96mer%20Faruk%20Ba%C5%9Fer%20Vak%C4%B1fBank,,İstanbul,Verified: vakifbank.com.tr
TR-HR-013,Hale Ökmen Ataklı,ING Türkiye,İnsan Kaynakları Genel Müdür Yardımcısı ve İcra Kurulu Üyesi,https://www.linkedin.com/search/results/people/?keywords=Hale%20%C3%96kmen%20Atakl%C4%B1%20ING%20T%C3%BCrkiye,,İstanbul,Verified: ing.com.tr
TR-HR-014,Funda Temoçin,HSBC Türkiye,İnsan Kaynakları ve Kurumsal İletişim Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Funda%20Temo%C3%A7in%20HSBC%20T%C3%BCrkiye,,İstanbul,Verified: hsbc.com.tr
TR-HR-015,Lütfü Şener,Albaraka Türk,İnsan ve Kültür Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=L%C3%BCtf%C3%BC%20%C5%9Eener%20Albaraka%20T%C3%BCrk,,İstanbul,"Verified: albarakaturk.com.tr, KAP"
TR-HR-016,Bike Tarakcı,Alternatif Bank,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Bike%20Tarakc%C4%B1%20Alternatif%20Bank,,İstanbul,Verified: alternatifbank.com.tr
TR-HR-017,Beti Yuhay Almozlino,Trendyol,İnsan Kaynakları Başkanı (CHRO),https://www.linkedin.com/search/results/people/?keywords=Beti%20Yuhay%20Almozlino%20Trendyol,,İstanbul,"Verified: webrazzi.com, yirmiuc.org"
TR-HR-018,Tuğçe Ertuğrul,Trendyol,People and Culture Leader,https://www.linkedin.com/search/results/people/?keywords=Tu%C4%9F%C3%A7e%20Ertu%C4%9Frul%20Trendyol,,İstanbul,"Verified: anbeankampus.co, Talent Summit"
TR-HR-019,Esra Beyzadeoğlu,Hepsiburada,İnsan Kaynakları Grup Başkanı,https://www.linkedin.com/search/results/people/?keywords=Esra%20Beyzadeo%C4%9Flu%20Hepsiburada,,İstanbul,"Verified: kariyer.net, aa.com.tr"
TR-HR-020,Petek Taga,Getir,İnsandan Sorumlu Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Petek%20Taga%20Getir,,İstanbul,"Verified: hurriyet.com.tr, ikmagazin.com"
TR-HR-021,Alev Taş,Dream Games,HR Director,https://www.linkedin.com/search/results/people/?keywords=Alev%20Ta%C5%9F%20Dream%20Games,,İstanbul,Verified: theorg.com
TR-HR-022,Eda Azaroğlu,Peak Games,İnsan Kaynakları Direktörü,https://www.linkedin.com/search/results/people/?keywords=Eda%20Azaro%C4%9Flu%20Peak%20Games,,İstanbul,Verified: oyungezer.com.tr
TR-HR-023,Nebahat Kesgin,Logo Yazılım,Grup İnsan ve Organizasyonel Dönüşüm Direktörü,https://www.linkedin.com/search/results/people/?keywords=Nebahat%20Kesgin%20Logo%20Yaz%C4%B1l%C4%B1m,,İstanbul,"Verified: logo.com.tr, fastcompany.com.tr"
TR-HR-024,Aşkın Bostancıoğlu,Yemeksepeti,Head of People,https://www.linkedin.com/search/results/people/?keywords=A%C5%9Fk%C4%B1n%20Bostanc%C4%B1o%C4%9Flu%20Yemeksepeti,,İstanbul,"Verified: yemeksepeti.com, forbes.com.tr"
TR-HR-025,Güntülü Peker,Sahibinden.com,İnsan ve Sürdürülebilirlik Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=G%C3%BCnt%C3%BCl%C3%BC%20Peker%20Sahibinden.com,,İstanbul,"Verified: perakende.org, hrdergi.com"
TR-HR-026,Gözde Bahçekapılı Varinli,BiTaksi,Head of People,https://www.linkedin.com/search/results/people/?keywords=G%C3%B6zde%20Bah%C3%A7ekap%C4%B1l%C4%B1%20Varinli%20BiTaksi,,İstanbul,Verified: theorg.com
TR-HR-027,Tolga Temtek,Colendi,HR Advisor to CEO,https://www.linkedin.com/search/results/people/?keywords=Tolga%20Temtek%20Colendi,,İstanbul,Verified: theorg.com
TR-HR-028,Dilara Aydın,Papara,Senior People Partner,https://www.linkedin.com/search/results/people/?keywords=Dilara%20Ayd%C4%B1n%20Papara,,İstanbul,Verified: theorg.com
TR-HR-029,Seda Karatekin,AloTech,CHRO,https://www.linkedin.com/search/results/people/?keywords=Seda%20Karatekin%20AloTech,,İstanbul,"Verified: fintechistanbul.org, Altın Lider ödülü 2024"
TR-HR-030,Murat Düzgün,Papel,CHRO,https://www.linkedin.com/search/results/people/?keywords=Murat%20D%C3%BCzg%C3%BCn%20Papel,,İstanbul,"Verified: marketingturkiye.com.tr, mediacat.com"
TR-HR-031,Selin Esencan Baykal,Bilyoner,CHRO,https://www.linkedin.com/search/results/people/?keywords=Selin%20Esencan%20Baykal%20Bilyoner,,İstanbul,Verified: hrtoday.in
TR-HR-032,Erkan Durdu,Turkcell,İnsan ve İş Destekten Sorumlu Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Erkan%20Durdu%20Turkcell,,İstanbul,Verified: turkcell.com.tr
TR-HR-033,Nazlı Tlabar Güler,Vodafone Türkiye,İnsan Kaynaklarından Sorumlu İcra Kurulu Başkan Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Nazl%C4%B1%20Tlabar%20G%C3%BCler%20Vodafone%20T%C3%BCrkiye,,İstanbul,Verified: vodafone.com.tr
TR-HR-034,İskender Bayrak,Türk Telekom,İnsan Kaynakları Genel Müdür Yardımcısı (CHRO),https://www.linkedin.com/search/results/people/?keywords=%C4%B0skender%20Bayrak%20T%C3%BCrk%20Telekom,,Ankara,Verified: turktelekom.com.tr
TR-HR-035,Bahattin Aydın,LC Waikiki,İnsan Kaynakları Genel Müdürü (CHRO),https://www.linkedin.com/search/results/people/?keywords=Bahattin%20Ayd%C4%B1n%20LC%20Waikiki,,İstanbul,Verified: lcwaikiki.com
TR-HR-036,Can Yılmaz,Mavi,Chief Human Resources Officer (CHRO),https://www.linkedin.com/search/results/people/?keywords=Can%20Y%C4%B1lmaz%20Mavi,,İstanbul,Verified: mavicompany.com
TR-HR-037,Yeşim Çokeker,DeFacto,İnsan Kaynaklarından Sorumlu Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Ye%C5%9Fim%20%C3%87okeker%20DeFacto,,İstanbul,Verified: defacto.com.tr
TR-HR-038,Yasemin Asar,Boyner Grup,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Yasemin%20Asar%20Boyner%20Grup,,İstanbul,Verified: boyner.com.tr
TR-HR-039,Hasan Kaya,BİM,İnsan Kaynakları Başkanı (CHRO),https://www.linkedin.com/search/results/people/?keywords=Hasan%20Kaya%20B%C4%B0M,,İstanbul,Verified: bim.com.tr
TR-HR-040,Olcay Yılmaz Nomak,Migros,İnsan Kaynakları ve Endüstri İlişkileri GMY,https://www.linkedin.com/search/results/people/?keywords=Olcay%20Y%C4%B1lmaz%20Nomak%20Migros,,İstanbul,Verified: migros.com.tr
TR-HR-041,Bahar Tura,CarrefourSA,İnsan Kaynakları ve Sürdürülebilirlik GMY,https://www.linkedin.com/search/results/people/?keywords=Bahar%20Tura%20CarrefourSA,,İstanbul,Verified: carrefoursa.com
TR-HR-042,Tuncer Konak,ŞOK Marketler,İnsan Kaynaklarından Sorumlu Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Tuncer%20Konak%20%C5%9EOK%20Marketler,,İstanbul,Verified: sokmarket.com.tr
TR-HR-043,Eriş Aslan,Koçtaş,İnsan Kaynakları ve Endüstri İlişkileri GMY,https://www.linkedin.com/search/results/people/?keywords=Eri%C5%9F%20Aslan%20Ko%C3%A7ta%C5%9F,,İstanbul,Verified: koctas.com.tr
TR-HR-044,Ali Rıza Aksoy,Ford Otosan,İnsan Kaynakları Direktörü,https://www.linkedin.com/search/results/people/?keywords=Ali%20R%C4%B1za%20Aksoy%20Ford%20Otosan,,İstanbul,Verified: fordotosan.com.tr
TR-HR-045,Orçun Sarıca,TOFAŞ,İnsan Kaynakları ve Endüstriyel İlişkiler Direktörü,https://www.linkedin.com/search/results/people/?keywords=Or%C3%A7un%20Sar%C4%B1ca%20TOFA%C5%9E,,Bursa,Verified: tofas.com.tr
TR-HR-046,Seda Koytak,Toyota Türkiye,İnsan Kaynakları ve Tesis Yönetim Direktörü,https://www.linkedin.com/search/results/people/?keywords=Seda%20Koytak%20Toyota%20T%C3%BCrkiye,,Sakarya,Verified: toyota.com.tr
TR-HR-047,Betül Çorbacıoğlu,Mercedes-Benz Türk,İnsan Kaynakları Direktörü,https://www.linkedin.com/search/results/people/?keywords=Bet%C3%BCl%20%C3%87orbac%C4%B1o%C4%9Flu%20Mercedes-Benz%20T%C3%BCrk,,İstanbul,Verified: mercedes-benz.com.tr
TR-HR-048,Gökhan Şahin,Hyundai Assan,İnsan Kaynaklarından Sorumlu Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=G%C3%B6khan%20%C5%9Eahin%20Hyundai%20Assan,,Kocaeli,Verified: hyundai.com.tr
TR-HR-049,Dr. Başak Demiryumruk Dikici,Renault MAİS,İnsan Kaynakları Direktörü,https://www.linkedin.com/search/results/people/?keywords=Dr.%20Ba%C5%9Fak%20Demiryumruk%20Dikici%20Renault%20MA%C4%B0S,,İstanbul,Verified: renault.com.tr
TR-HR-050,Fikri Özdemir,Arçelik,"Kıdemli Direktör, İnsan Kaynakları",https://www.linkedin.com/search/results/people/?keywords=Fikri%20%C3%96zdemir%20Ar%C3%A7elik,,İstanbul,Verified: arcelikglobal.com
TR-HR-051,Zeynep Tarhan,Vestel,İnsan Kaynakları Genel Müdürü,https://www.linkedin.com/search/results/people/?keywords=Zeynep%20Tarhan%20Vestel,,Manisa,Verified: vestellgroup.com
TR-HR-052,Nursel Ölmez Ateş,Borusan Holding,İnsan Kaynakları ve Kurumsal İletişim Grup Başkanı,https://www.linkedin.com/search/results/people/?keywords=Nursel%20%C3%96lmez%20Ate%C5%9F%20Borusan%20Holding,,İstanbul,Verified: borusan.com
TR-HR-053,Tuğba Paşalı Karacan,Borusan Otomotiv,İK ve İSG'den Sorumlu İcra Kurulu Üyesi,https://www.linkedin.com/search/results/people/?keywords=Tu%C4%9Fba%20Pa%C5%9Fal%C4%B1%20Karacan%20Borusan%20Otomotiv,,İstanbul,Verified: borusan.com
TR-HR-054,Şengül Arslan,Şişecam,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=%C5%9Eeng%C3%BCl%20Arslan%20%C5%9Ei%C5%9Fecam,,İstanbul,Verified: sisecam.com.tr
TR-HR-055,Neslihan Eroğlu,Kordsa,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Neslihan%20Ero%C4%9Flu%20Kordsa,,İstanbul,Verified: kordsa.com
TR-HR-056,Tuğba Gök Nam,Brisa,İnsan Kaynakları Genel Müdür Yardımcısı,https://www.linkedin.com/search/results/people/?keywords=Tu%C4%9Fba%20G%C3%B6k%20Nam%20Brisa,,İstanbul,Verified: brisa.com.tr
